nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Drs. Tari Mayasari,Jalan Cikutra Timur No. 09,Tomohon,(015) 454-9696,1992-02-20,1.56,2020-11-18
dr. Victoria Wastuti,Gg. Jakarta No. 51,Bau-Bau,+62-22-100-6312,1989-01-13,1.86,2023-03-05
Vivi Hastuti,Gg. KH Amin Jasuta No. 538,Serang,+62 (0226) 083 6440,1974-05-17,3.21,2022-08-02
Yusuf Hidayanto,Gang BKR No. 79,Banjarbaru,+62-077-862-5752,2000-03-21,1.98,2022-01-13
"drg. Asirwada Januar, S.Sos",Gg. Cikutra Barat No. 29,Tidore Kepulauan,(0908) 277-2371,2002-04-08,2.96,2020-04-27
Ratih Ramadan,Jalan Cihampelas No. 08,Salatiga,0839989485,1980-06-29,3.06,2020-12-21
Hj. Sarah Siregar,Jalan Siliwangi No. 74,Medan,(0048) 707-3250,1978-12-27,3.0,2019-07-01
Anggabaya Zulaika,Gang R.E Martadinata No. 353,Payakumbuh,+62-946-743-0171,1998-09-04,2.83,2019-07-31
Citra Sudiati,Gg. Monginsidi No. 27,Magelang,+62 (0377) 380-5548,1994-05-30,2.46,2019-02-06
R.A. Hafshah Simanjuntak,Jalan Rumah Sakit No. 58,Surakarta,(0586) 459-5827,1971-05-31,3.35,2021-10-08
"Dr. Heryanto Hartati, S.E.I",Jalan Sukajadi No. 23,Kendari,087 546 9876,1980-05-05,3.33,2020-08-08
Bakda Utami,Gang Abdul Muis No. 099,Kupang,(039) 755 3723,1979-01-27,2.67,2019-10-04
"R.A. Vanesa Wastuti, S.Sos",Gang Dr. Djunjunan No. 6,Gorontalo,084 111 6498,1963-07-14,3.45,2019-11-27
Prayoga Napitupulu,Gang BKR No. 6,Palembang,+62-55-467-5931,1978-06-25,3.38,2020-11-17
Cemeti Maheswara,Jalan Ir. H. Djuanda No. 013,Bandar Lampung,+62 (023) 027 1286,1985-05-25,2.98,2021-09-08
"dr. Eka Wahyudin, S.I.Kom",Jl. R.E Martadinata No. 81,Kota Administrasi Jakarta Barat,+62 (98) 597 1167,1985-01-11,2.79,2022-04-01
Dr. Ana Puspita,Jalan Cikutra Timur No. 207,Palopo,+62-46-883-8598,1966-10-17,2.54,2021-03-24
"R. Kasim Prayoga, M.Pd",Gg. Astana Anyar No. 153,Gorontalo,(064) 224 0017,1964-05-04,2.9,2021-08-05
Umi Sitorus,Jalan Pasteur No. 5,Mataram,+62 (726) 205-1392,1964-05-09,3.42,2019-01-01
R. Jati Rahmawati,Jalan Cihampelas No. 633,Meulaboh,+62-98-516-6466,1999-04-29,2.73,2021-03-13
"H. Enteng Mandala, S.I.Kom",Jl. HOS. Cokroaminoto No. 559,Binjai,+62 (005) 458-6688,1975-07-06,3.58,2018-05-27
"Ir. Dewi Novitasari, M.TI.",Jalan Pelajar Pejuang No. 995,Parepare,080 932 6640,1969-07-31,3.35,2019-03-16
"R. Titi Nugroho, S.IP",Gg. Kiaracondong No. 528,Tebingtinggi,+62 (57) 296 6215,1997-07-19,3.04,2021-02-22
Iriana Hasanah,Jl. Erlangga No. 83,Bogor,+62 (066) 491 2917,1986-07-01,3.15,2018-11-26
Darmaji Haryanti,Gg. Indragiri No. 72,Pariaman,+62 (012) 702 2485,1968-04-12,3.08,2019-10-04
Cut Putri Marpaung,Jalan Setiabudhi No. 5,Balikpapan,+62 (0317) 842-3397,1988-05-19,2.83,2022-05-31
R. Embuh Astuti,Gg. Pasir Koja No. 8,Padang,+62 (949) 107 4980,1976-08-07,3.04,2021-06-05
"Darimin Rahayu, M.Farm",Jalan Cikutra Timur No. 71,Surabaya,+62-047-224-0379,1979-12-30,3.42,2018-06-17
Ir. Wardi Firgantoro,Gg. Laswi No. 88,Cirebon,+62-66-136-1082,2002-07-06,3.19,2020-05-17
Puti Oliva Pudjiastuti,Jalan Tubagus Ismail No. 63,Binjai,+62-0154-485-1655,1993-07-14,3.35,2022-12-01
Olivia Putra,Jl. Suniaraja No. 97,Padangpanjang,+62 (09) 263 8169,1998-05-01,3.15,2023-03-30
"Sutan Ganjaran Melani, S.I.Kom",Gang HOS. Cokroaminoto No. 658,Yogyakarta,+62 (157) 912-1466,1997-10-23,3.17,2022-09-01
"Cahya Nasyiah, S.Pt",Jalan H.J Maemunah No. 755,Kota Administrasi Jakarta Selatan,+62-505-116-4119,1993-06-18,3.17,2021-05-16
Narji Narpati,Gang Dr. Djunjunan No. 1,Dumai,(025) 594-2868,2001-11-26,3.15,2020-10-01
Elisa Gunawan,Jalan Joyoboyo No. 3,Salatiga,0864061575,1970-03-08,3.17,2021-12-28
"Drs. Vivi Yolanda, S.Pd",Gang Suryakencana No. 18,Solok,+62 (059) 120 5959,1998-08-02,3.38,2019-03-18
