nama,fakultas,nilai_mat,nilai_kim,nilai_fis
Thomas Dingess,FMIPA,57.21,34.14,38.93
Charles Almaraz,FMIPA,67.43,51.5,57.2
James Wolfe,SAPPK,90.62,37.38,40.73
Michael Carranza,FMIPA,72.31,38.8,44.79
Kelly Lehnertz,FTSL,65.45,57.67,56.39
Roy Howard,FTSL,60.58,41.91,51.55
Mavis Jackson,FTSL,51.67,35.05,48.69
Roland Norton,FTTM,71.66,67.61,69.75
Katherine Gibson,FTI,73.06,59.16,59.48
Ramonita Mency,FTSL,69.57,38.84,48.17
Robert Kibler,FITB,64.76,56.89,59.13
Ronnie Turner,FTTM,68.29,55.18,69.91
Lucile Lewis,FTI,68.17,55.99,57.2
Michael Baker,FTI,81.46,46.96,58.87
Willie Powell,SAPPK,79.33,37.99,43.0
Margaret Bennett,FTI,68.1,60.0,53.78
Susan Albano,FTI,74.46,28.66,51.6
Robert Bybee,FMIPA,84.23,31.62,36.46
Victorina Williams,STEI,69.94,58.57,70.57
Allison Lawrence,SAPPK,51.49,38.07,44.56
Rosetta Rhodes,FMIPA,90.14,31.05,49.4
Jennie Smith,FTMD,69.2,35.08,40.17
Joshua Bowen,SITHS,54.65,32.81,39.29
Fredrick Adkins,FTI,74.28,51.67,56.67
Veronica Kerns,STEI,73.93,54.64,53.28
Shonda Wagner,FTTM,68.25,42.06,47.04
Travis Anderson,STEI,73.06,12.98,30.11
Chastity Lasley,FITB,79.25,33.25,41.24
Brian Clark,FTI,59.88,11.87,22.79
Josephine Cress,STEI,75.1,44.97,53.38
Julia Pratt,FTI,57.73,47.02,56.38
Carlos Spore,FTSL,100.0,39.9,49.78
Shannon Herrera,SITHR,78.46,43.18,44.73
Betty Phillips,FTMD,60.66,46.84,56.2
Stephanie Weal,FTMD,89.73,43.67,56.49
James Tyska,SITHR,90.11,48.08,58.72
Jeremy Zimmerman,FTI,83.97,48.69,45.1
Doris Seiter,FTTM,83.97,36.97,44.65
Charles Williams,SAPPK,54.2,55.72,68.99
Marjorie Vann,FMIPA,62.26,41.47,48.07
Dennis Reyes,FMIPA,87.51,52.28,63.2
Jennette Drake,SITHR,64.51,35.7,37.14
Elizabeth Lowry,SAPPK,63.65,21.58,22.48
Myrtle Etheridge,STEI,85.45,53.11,62.39
Ann Erickson,STEI,86.48,43.73,43.34
Tanya Williams,FTTM,57.74,47.77,66.04
